DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2023-02-14,15:00:00,47550,20230213509294,FYFinancialStatements_Consolidated_IFRS,FY,2022-01-01,2022-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,1927878000000,-363892000000,,-372884000000,-235.0,-235.16,20437298000000,871090000000,0.04,511.63,-257947000000,-952408000000,1486684000000,4694360000000,,0.0,,4.5,4.5,,7157000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1590463000,244,1586752140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,15:00:00,47550,20230510563739,1QFinancialStatements_Consolidated_IFRS,1Q,2023-01-01,2023-03-31,2023-01-01,2023-12-31,,,475635000000,-76194000000,,-82567000000,-51.88,-52.08,20349537000000,779417000000,0.035,,,,,4504230000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,1592398500,244,1591350897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10,15:00:00,47550,20230809538645,2QFinancialStatements_Consolidated_IFRS,2Q,2023-01-01,2023-06-30,2023-01-01,2023-12-31,,,972800000000,-125087000000,,-139985000000,-83.04,-83.05,21648023000000,1172294000000,0.047,,,,,5005509000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,2138419700,272,1685801517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09,15:00:00,47550,20231108582577,3QFinancialStatements_Consolidated_IFRS,3Q,2023-01-01,2023-09-30,2023-01-01,2023-12-31,,,1491239000000,-179578000000,,-208447000000,-113.37,-113.38,21640993000000,1131183000000,0.045,,,,,4704818000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,2140315600,275,1838696368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-14,15:00:00,47550,20240213534663,FYFinancialStatements_Consolidated_IFRS,FY,2023-01-01,2023-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,2071315000000,-212857000000,,-339473000000,-177.27,-177.29,22625576000000,1087723000000,0.037,390.53,724192000000,-597416000000,291956000000,5127674000000,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,2142140300,384,1914977919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14,15:00:00,47550,20240513592878,1QFinancialStatements_Consolidated_IFRS,1Q,2024-01-01,2024-03-31,2024-01-01,2024-12-31,,,513624000000,-33272000000,,-42394000000,-19.78,-19.78,23851066000000,1111833000000,0.036,,,,,5369133000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,2144284500,2411,2143163360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,15:00:00,47550,20240808567858,2QFinancialStatements_Consolidated_IFRS,2Q,2024-01-01,2024-06-30,2024-01-01,2024-12-31,,,1050908000000,-51603000000,,-75962000000,-35.41,-35.41,24828283000000,1128050000000,0.035,,,,,5942223000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,,2149027500,2773,2145083781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,15:30:00,47550,20241112519999,3QFinancialStatements_Consolidated_IFRS,3Q,2024-01-01,2024-09-30,2024-01-01,2024-12-31,,,1617621000000,-51066000000,,-150358000000,-70.04,-70.04,24879684000000,970604000000,0.028,,819503000000,-766953000000,701528000000,5886875000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,,2151545900,3652,2146833488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,15:30:00,47550,20250213572813,FYFinancialStatements_Consolidated_IFRS,FY,2024-01-01,2024-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,2279233000000,52975000000,,-162442000000,-75.61,-75.62,26514728000000,1238514000000,0.035,430.67,1190882000000,-921724000000,757469000000,6170888000000,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,,2154483600,4096,2148420001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14,15:30:00,47550,20250513546639,1QFinancialStatements_Consolidated_IFRS,1Q,2025-01-01,2025-03-31,2025-01-01,2025-12-31,,,562704000000,-15444000000,,-73471000000,-34.08,-34.09,25077197000000,1136181000000,0.033,,,,,4918469000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,false,,2157487400,4498,2155896409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
